CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;EI02;DD01;DD03_01;FG01_01;FG01_02;FG01_03;FG01_04;FG01_05;FG01_06;FG01_07;FG01_08;FG01_09;FG01_10;FG01_11;FG02_01;KL01;TIME001;TIME002;TIME003;TIME004;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
24;;;base;interview;04.12.2021 15:32;1;1;21;3;3;2;2;4;3;1;2;4;4;4;3;1;134;5;72;4;87;;04.12.2021 15:35;1;0;4;4;0;0;0,76;3
25;;;base;interview;04.12.2021 15:33;1;1;19;4;4;1;2;3;3;1;2;4;4;3;2;1;58;16;62;11;78;;04.12.2021 15:36;1;0;4;4;0;0;0,44;0
26;;;base;interview;04.12.2021 15:39;1;2;12;2;3;1;2;1;3;2;3;3;3;1;4;1;52;13;155;8;77;;04.12.2021 15:43;1;0;4;4;0;0;0,36;0
29;;;base;interview;04.12.2021 15:57;1;1;22;3;3;1;1;2;1;1;2;3;3;1;3;1;7;5;128;3;72;;04.12.2021 15:59;1;0;4;4;0;0;0,96;7
30;;802;base;interview;04.12.2021 21:32;1;2;39;4;4;2;2;2;3;1;1;1;3;2;4;1;22;13;48;4;80;;04.12.2021 21:34;1;0;4;4;0;0;0,73;2
31;;392;base;interview;04.12.2021 23:49;1;2;20;3;2;2;1;1;4;1;2;2;4;1;3;1;4;6;43;3;56;;04.12.2021 23:50;1;0;4;4;0;0;1,29;14
32;;707;base;interview;05.12.2021 12:18;1;2;18;3;1;1;1;1;3;1;1;1;3;2;2;1;7;6;49;4;66;;05.12.2021 12:19;1;0;4;4;0;0;1,01;2
33;;748;base;interview;05.12.2021 12:49;1;2;23;2;3;1;1;1;2;1;1;2;3;2;2;1;12;7;79;6;104;;05.12.2021 12:51;1;0;4;4;0;0;0,69;0
34;;;base;interview;05.12.2021 13:39;1;1;22;4;4;3;4;4;4;1;2;4;4;4;3;1;6;8;34;4;52;;05.12.2021 13:39;1;0;4;4;0;0;1,11;8
35;;;base;interview;05.12.2021 13:39;1;2;52;4;4;2;1;1;3;1;3;4;4;3;3;1;9;8;74;3;94;;05.12.2021 13:40;1;0;4;4;0;0;0,88;4
36;;677;base;interview;05.12.2021 18:06;1;2;23;3;4;2;2;1;3;1;2;2;3;2;3;1;4;8;44;3;59;;05.12.2021 18:07;1;0;4;4;0;0;1,22;14
37;;242;base;interview;05.12.2021 18:16;1;2;45;4;4;3;1;1;2;1;2;2;3;2;3;1;8;16;109;6;129;;05.12.2021 18:18;1;0;4;4;0;0;0,58;0
38;;118;base;interview;05.12.2021 19:01;1;2;22;4;4;4;3;3;4;4;2;2;4;1;3;1;6;6;38;10;54;;05.12.2021 19:02;1;0;4;4;0;0;0,98;6
39;;428;base;interview;05.12.2021 19:13;1;1;20;2;3;1;1;2;2;1;1;2;3;4;3;1;3;5;91;5;104;;05.12.2021 19:15;1;0;4;4;0;0;1,16;15
40;;740;base;interview;05.12.2021 21:48;1;2;19;3;1;3;2;3;4;1;2;3;4;3;3;1;6;4;65;4;79;;05.12.2021 21:50;1;0;4;4;0;0;1,09;6
41;;709;base;interview;05.12.2021 23:52;1;2;19;4;3;2;2;1;3;2;2;2;4;1;4;1;10;6;52;5;73;;05.12.2021 23:53;1;0;4;4;0;0;0,87;1
42;;284;base;interview;06.12.2021 01:11;1;1;22;4;2;1;2;3;3;1;1;3;4;4;1;1;4;6;68;4;82;;06.12.2021 01:12;1;0;4;4;0;0;1,08;6
44;;693;base;interview;06.12.2021 09:05;1;3;20;4;4;2;1;1;3;2;3;3;4;3;3;1;4;4;41;3;52;;06.12.2021 09:06;1;0;4;4;0;0;1,43;22
45;;385;base;interview;06.12.2021 09:08;1;2;24;3;3;2;3;3;2;1;1;1;2;3;3;1;16;6;57;4;83;;06.12.2021 09:09;1;0;4;4;0;0;0,84;0
